0,0,0,0,0,0,0,0,0,0,0,3,4,7,9,7,7,6,10,10,15,11,10,7,7
0,0,0,0,0,0,0,0,0,0,3,5,7,9,8,8,7,9,10,16,15,16,11,9,7
0,0,0,0,0,0,0,0,0,3,6,8,9,8,9,6,9,11,15,14,16,14,15,11,9
0,0,0,0,0,0,0,0,2,6,8,9,9,11,8,9,9,15,14,16,14,15,14,15,10
0,0,0,0,0,0,0,1,5,9,10,9,10,10,9,10,14,13,16,13,12,12,15,15,15
0,0,0,0,0,0,0,3,7,9,9,9,9,9,12,14,14,13,12,13,11,12,12,14,14
0,0,0,0,0,0,1,4,8,8,8,9,9,9,12,16,14,11,11,11,12,12,12,11,16
0,0,0,0,0,0,2,4,8,9,7,7,8,8,12,14,14,11,11,9,12,12,9,10,13
0,0,0,0,0,0,1,6,8,9,8,8,7,8,9,12,14,15,14,13,12,13,14,12,13
0,0,0,0,0,0,1,6,11,9,9,9,8,8,9,13,13,21,20,19,17,19,15,18,12
0,0,0,0,0,0,3,8,12,11,11,13,14,13,16,13,19,20,32,32,41,32,28,18,19
0,0,0,0,0,0,4,11,11,11,13,15,17,21,19,20,17,27,29,56,54,54,28,26,18
0,0,0,0,0,0,4,10,13,12,15,16,21,24,26,19,23,21,40,53,91,53,40,21,23
0,0,0,0,0,0,3,9,11,13,14,15,15,19,18,21,18,26,28,54,54,56,29,27,17
0,0,0,0,0,0,2,8,10,12,12,11,11,11,14,13,19,18,28,32,41,32,32,20,19
0,0,0,0,0,0,3,6,9,8,9,7,6,8,7,11,12,18,15,19,17,19,20,21,13
0,0,0,0,0,0,3,7,8,9,7,7,7,8,9,10,13,12,14,13,12,13,14,15,14
0,0,0,0,0,0,2,7,9,10,8,7,9,8,12,14,13,10,9,12,12,9,11,11,14
0,0,0,0,0,0,1,5,11,12,12,9,9,9,12,16,16,11,12,12,12,11,11,11,14
0,0,0,0,0,0,0,3,8,13,11,12,9,10,12,16,14,14,12,12,11,13,12,13,14
0,0,0,0,0,0,0,1,5,10,13,11,12,10,11,11,15,15,15,12,12,13,16,13,14
0,0,0,0,0,0,0,0,2,6,10,12,11,12,9,10,10,15,14,15,14,16,14,15,9
0,0,0,0,0,0,0,0,0,3,6,10,11,10,10,7,9,11,15,14,16,14,15,11,9
